Comparison,f_statistic,f_p_value,t_statistic,t_p_value
llama3_8b-instruct-fp16 vs llama3_8b-instruct-sentiment_analysis-fp16,4.6244729778908775,0.03342851196534167,-2.1504587831183555,0.03342851196534201
llama3_8b-instruct-q4_K_M vs llama3_8b-instruct-sentiment_analysis-q4_K_M,6.252053034272929,0.013731851735162478,-2.500410573140525,0.013731851735162424
llama3_8b-instruct-q5_K_M vs llama3_8b-instruct-sentiment_analysis-q5_K_M,5.011799547706526,0.026930040520884074,-2.238704881780204,0.026930040520884116
llama3_8b-instruct-q8_0 vs llama3_8b-instruct-sentiment_analysis-q8_0,7.866468030357514,0.00583487287707582,-2.8047224515729736,0.005834872877075786
